[234, 1.94700803064e-07, 0.00113602392398, 3, 117, 2, 0.858385374764, 0.688, 0.632]
[183, 1.89260673769e-07, 0.00105192400009, 3, 52, 2, 0.953475633748, 0.692, 0.637]
[145, 1.72073703885e-07, 0.000779850820861, 3, 67, 2, 0.899265722171, 0.683, 0.633]
[620, 6.836595896e-06, 0.000327975975362, 3, 53, 4, 0.614538395608, 0.816, 0.686]
[572, 1.15718788005e-07, 0.00010144939385, 3, 68, 4, 0.652327217804, 0.743, 0.666]
[1578, 2.23766945831e-06, 0.00719748345851, 3, 54, 4, 0.680730761785, 0.856, 0.654]
[371, 2.0422125873e-06, 0.000682447049986, 3, 54, 4, 0.618738480908, 0.785, 0.634]
[1131, 2.66347196432e-06, 0.00284922738298, 3, 96, 4, 0.533515846695, 0.855, 0.642]
[266, 9.40432413689e-07, 0.00237502736971, 3, 38, 4, 0.506372240337, 0.803, 0.653]
[165, 3.84852085201e-05, 7.49972528101e-05, 3, 55, 4, 0.897871952056, 0.711, 0.628]
[109, 1.02365765032e-05, 0.000383420149748, 3, 63, 4, 0.690990105946, 0.72, 0.665]
[446, 3.61376484099e-05, 1.55754463786e-05, 3, 48, 4, 1.19592362858, 0.626, 0.609]
[626, 4.97143881714e-06, 0.000283948013947, 3, 35, 4, 0.644055122781, 0.792, 0.685]
[198, 5.20446268641e-06, 6.01637353501e-05, 3, 45, 4, 1.04303834277, 0.621, 0.614]
[511, 3.50748312224e-06, 6.36341674613e-05, 3, 19, 4, 0.83198346557, 0.701, 0.633]
[451, 7.65715787185e-06, 0.000951614328957, 3, 48, 4, 0.597932148779, 0.817, 0.66]
[218, 8.47270629404e-05, 2.51538916231e-05, 3, 26, 4, 1.24270514939, 0.644, 0.603]
[101, 4.963500379e-06, 5.03273997095e-05, 3, 58, 4, 1.31299129228, 0.633, 0.595]
